"IDNO"	"KING"	"FAMI"	"ENGT"
598	"B"	"Euphorbiaceae"	"euphorbia"
599	"B"	"Malvaceae"	"rose of Sharon"
600	"B"	"Oleaceae"	"lilac, common"
601	"B"	"Euphorbiaceae"	"crown of thorns"
602	"B"	"Crassulaceae"	"donkey tail"
603	"B"	"Nyctaginaceae"	"paper flower"
604	"B"	"Oleaceae"	"jasmine, Chinese"
605	"B"	"Asteraceae"	"daisy, barberton"
606	"B"	"Iridaceae"	"gladiolus"
607	"B"	"Caryophyllaceae"	"carnation"
608	"B"	"Asteraceae"	"blazing star"
609	"B"	"Asteraceae"	"black-eyed Susan"
610	"B"	"Bignoniaceae"	"trumpet flower"
611	"B"	"Asteraceae"	"zinnia"
612	"B"	"Asteraceae"	"zinnia"
613	"B"	"Boraginaceae"	"forget-me-not, wood"
614	"B"	"Liliaceae"	"tulip"
615	"B"	"Amaryllidaceae"	"amaryllis"
616	"B"	"Liliaceae"	"lily, Easter"
617	"B"	"Rosaceae"	"quince, Japanese"
618	"B"	"Rosaceae"	"flowering almond"
619	"B"	"Onagriaceae"	"fuchsia"
620	"B"	"Geraniaceae"	"geranium, zonal"
621	"B"	"Scrophulariaceae"	"coral plant"
622	"B"	"Tropaeolaceae"	"nasturtium"
623	"B"	"Begoniaceae"	"begonia"
624	"B"	"Iridaceae"	"spring bell"
625	"B"	"Malvaceae"	"hollyhock"
626	"B"	"Lamiaceae"	"lavender"
627	"B"	"Myrtaceae"	"myrtle"
628	"B"	"Lamiaceae"	"basil, sweet"
629	"B"	"Polygonaceae"	"rhubarb"
630	"B"	"Valerianaceae"	"valerian"
631	"B"	"Asteraceae"	"aster, China"
632	"B"	"Amaryllidaceae"	"lily, spider"
633	"B"	"Amaryllidaceae"	"lily of the field"
634	"B"	"Agavaceae"	"century plant"
635	"B"	"Cyperaceae"	"sedge, umbrella flat"
636	"B"	"Cyperaceae"	"reed, papyrus"
637	"B"	"Nymphaeaceae"	"lily, pond"
638	"B"	"Nelumbonaceae"	"lotus"
639	"B"	"Nymphaeaceae"	"water lily, fragrant"
640	"B"	"Nymphaeaceae"	"water lily, royal"
641	"B"	"Fagaceae"	"oak, common"
642	"B"	"Aceraceae"	"maple, common"
643	"B"	"Taxaceae"	"yew, common"
644	"B"	"Pinaceae"	"spruce, Norway"
645	"B"	"Rosaceae"	"raspberry, wild"
646	"B"	"Rosaceae"	"cherry"
647	"B"	"Corylaceae"	"hazel"
648	"Z"	"Apidae"	"bee, honey"
649	"Z"	"Lucanidae"	"beetle, common stag"
650	"Z"	"Coccinellidae"	"ladybird, four-spot"
651	"Z"	"Coccinellidae"	"ladybird, seven-spot"
652	"Z"	"Cricetidae"	"hamster, common"
653	"Z"	"Muridae"	"mouse, house"
654	"Z"	"Muridae"	"rat, roof"
655	"Z"	"Muridae"	"rat, brown"
656	"Z"	"Castoridae"	"beaver"
657	"Z"	"Felidae"	"fox, red"
658	"Z"	"Mustelidae"	"otter, common"
659	"Z"	"Ursidae"	"bear, browm"
660	"Z"	"Castoridae"	"moose"
661	"Z"	"Cervidae"	"deer, red"
662	"Z"	"Felidae"	"cat, European wild"
663	"Z"	"Felidae"	"wolf"
664	"Z"	"?"	"skunk"
665	"Z"	"Felidae"	"cheetah"
666	"Z"	"Gryllidae"	"cricket, Old World field"
667	"Z"	"Gryllotalpidae"	"cricket, common mole"
668	"Z"	"Mantodea"	"mantis, praying"
669	"Z"	"Homaridae"	"lobster"
670	"Z"	"Mytilidae"	"mussel, blue edible"
671	"Z"	"Cardiidae"	"cockle, edible"
672	"Z"	"Margaritanidae"	"mussel, pearl"
673	"B"	"Papilionaceae"	"clover, white"
674	"B"	"Papilionaceae"	"clover, red"
675	"B"	"Gramineae"	"reed, common"
676	"B"	"Cyperaceae"	"sedge, common"
677	"B"	"Cyperaceae"	"bulrush"
678	"B"	"Polypodiaceae"	"polypody, common"
679	"B"	"Aspidiaceae"	"fern, beech"
680	"B"	"Athyriaceae"	"fern, lady"
681	"B"	"Matteuciaceae"	"fern, ostrich"
682	"B"	"Blechnaceae"	"fern, hard"
683	"B"	"Aceraceae"	"maple, Norway"
684	"B"	"Nephrolepidaceae"	"fern, sword"
685	"B"	"Dracaenaceae"	"dracaena, fragrant"
686	"B"	"Agavaceae"	"palm lily"
687	"B"	"Amaryllidaceae"	"lily, spider"
688	"B"	"Amaryllidaceae"	"lily"
689	"B"	"Amaryllidaceae"	"lily of the valley"
690	"B"	"Asteraceae"	"strawflower"
691	"B"	"Asteraceae"	"cosmos, pink"
692	"B"	"Capparaceae"	"spider flower"
693	"B"	"Asteraceae"	"daisy, ox-eye"
694	"B"	"Lythraceae"	"crape myrtle"
695	"B"	"Mimosaceae"	"wattle, Sydney"
696	"B"	"Ericaceae"	"rhododendron"
697	"B"	"Primulaceae"	"cyclamen"
698	"B"	"Rhamnaceae"	"date"
699	"B"	"Chenopodiaceae"	"beet"
700	"B"	"Moraceae"	"mulberry, silkworm"
702	"B"	"Bombacaceae"	"silk cotton tree"
705	"B"	"Caesalpiniaceae"	"bauhinia, variegated"
706	"B"	"Rosaceae"	"prune, common"
707	"B"	"Rosaceae"	"bramble"
708	"B"	"Rosaceae"	"berry, black"
709	"B"	"Rosaceae"	"rasberry, yellow"
710	"B"	"Gesneriaceae"	"columnea"
711	"B"	"Acanthaceae"	"shrimp plant"
712	"B"	"Euphorbiaceae"	"chenille plant"
713	"B"	"Selaginellaceae"	"moss, club"
714	"B"	"Araceae"	"ivy arum"
715	"B"	"Pteridiaceae"	"fern, ribbon"
716	"B"	"Bambusoideae"	"bamboo, male"
720	"B"	"Fagaceae"	"chestnut, common"
721	"B"	"Lauraceae"	"Indian cassia"
722	"B"	"Lauraceae"	"cinnamon"
723	"B"	"Myrtaceae"	"swamp mahogany"
724	"B"	"Salicaceae"	"poplar, hybrid"
725	"B"	"Rosaceae"	"cherry, Himalayan wild"
726	"B"	"Bignoniaceae"	"jacaranda"
727	"B"	"Caprifoliaceae"	"mulla"
728	"B"	"Mimosaceae"	"cutch tree"
729	"B"	"Myrtaceae"	"bottlebrush"
731	"B"	"Dipterocarpaceae"	"sal"
732	"B"	"Aceraceae"	"maple, ?"
733	"B"	"Mimosaceae"	"siris"
734	"B"	"Mimosaceae"	"siris, pink"
735	"B"	"Mimosaceae"	"siri, white"
736	"B"	"Mimosaceae"	"siris, Burmese"
737	"B"	"Mimosaceae"	"siris, black"
738	"B"	"Aspidiaceae"	"fern"
739	"B"	"Aspidiaceae"	"fern"
740	"B"	"Combretaceae"	"myrobolan"
741	"B"	"Combretaceae"	"myrobolan, belliric"
743	"B"	"Lamiaceae"	"mint, spear"
746	"B"	"Theaceae"	"camellia"
747	"B"	"Pooideae"	"bamboo, mountain"
748	"B"	"Fagaceae"	"chestnut, hill"
749	"B"	"Ulmaceae"	"nettle tree"
750	"B"	"Convolvulaceae"	"railway creeper"
751	"B"	"Violaceae"	"pansy"
752	"B"	"Anacardiaceae"	"marking-nut tree"
755	"B"	"Amaryllidaceae"	"asparagus fern"
756	"B"	"Liliaceae"	"aspidistra"
757	"B"	"Marantaceae"	"calathea"
758	"B"	"Arecaceae"	"palm, weddel"
759	"B"	"Euphorbiaceae"	"croton, variegated Laurel"
760	"B"	"Lamiaceae"	"painted nettle"
761	"B"	"Araceae"	"dumb-cane"
