"IDNO"	"KING"	"FAMI"	"ENGT"
1276	"B"	"Gramineae"	"grass, rye perennial"
1278	"B"	"Amaryllidaceae"	"lily, foxtail"
1279	"B"	"Cupressaceae"	"cypress, Leyland"
1280	"B"	"Fagaceae"	"beech, common"
1281	"B"	"Apiaceae"	"water dropwort"
1282	"B"	"Apiaceae"	"coriander"
1283	"Z"	"Muscicapidae"	"flycatcher, yellow-rumped"
1284	"Z"	"Muscicapidae"	"flycatcher, Narcissus"
1285	"Z"	"Viperidae"	"viper, common"
1286	"Z"	"Corvidae"	"magpie, black-billed"
1287	"B"	"Moraceae"	"fig, lofly"
1290	"Z"	"Columbidae"	"pigeon, rock"
1304	"B"	"Arecaceae"	"palm, dwarf fan"

1305	"B"	"Araceae"	"white sails"
1306	"B"	"Gesneriaceae"	"African violet"
1307	"B"	"Myrtaceae"	"redgum, forest"
1310	"B"	"Nephrolepidaceae"	"whitemanii, dwarf"
1311	"B"	"Lythraceae"	"ashare"
1312	"B"	"Meliaceae"	"cedar, red"
1313	"Z"	"Erinaceidae"	"rat, moon"
1314	"Z"	"Vespertilionidae"	"bat, bent-wing"
1315	"B"	"Arecaceae"	"palm, oil"
1316	"B"	"Cucurbitaceae"	"squash, American"
1317	"B"	"Bombacaceae"	"baobab"
1319	"Z"	"Phasianidae"	"quail"
1320	"Z"	"?"	"Guinea pig"
1321	"B"	"Alismataceae"	"arrowhead"
1324	"Z"	"Bufonidae"	"toad, common"
1325	"B"	"Caryophyllaceae"	"pink, alpine"
1326	"B"	"Asteraceae"	"aster, alpine"
1327	"B"	"Amaryllidaceae"	"lily, fairy"
1329	"B"	"Asteraceae"	"golden rod, Canadian"
1330	"B"	"Amaryllidaceae"	"lily, belladonna"
1331	"B"	"Asteraceae"	"sneezeweed"
1332	"B"	"Amaryllidaceae"	"lily, cape"
1333	"B"	"Oleaceae"	"jasmine, night blooming"
1334	"B"	"Agavaceae"	"tuberose"
1335	"B"	"Agavaceae"	"sisal"
1336	"B"	"Agavaceae"	"agave, giant"
1337	"B"	"Asteraceae"	"Jerusalem artichoke"
1338	"B"	"Amaranthaceae"	"love-lies-bleeding"
1339	"B"	"Asteraceae"	"tansy"
1340	"B"	"Asteraceae"	"feverfew"
1341	"B"	"Asteraceae"	"daisy, shasta"
1342	"B"	"Rosaceae"	"peach, wild"
1343	"B"	"Amaryllidaceae"	"asparagus fern"
1344	"B"	"Liliaceae"	"lily, tiger"
1345	"B"	"Liliaceae"	"lily, speciosum"
1346	"B"	"Amaryllidaceae"	"amaryllis"
1353	"B"	"Betulaceae"	"birch, alder"
1359	"B"	"Rosaceae"	"rhaphiolepis"
1373	"B"	"Melastomaceae"	"Indian rhododendron"
1383	"B"	"Bombacaceae"	"red cotton tree"
1387	"B"	"Ilicaceae"	"holly, Himalayan"
1391	"B"	"Rosaceae"	"pear, wild Nepali"
1392	"B"	"Mimosaceae"	"wattle, green"
1393	"B"	"Acanthaceae"	"vasaka"
1394	"B"	"Simarubaceae"	"tree of heaven"
1395	"B"	"Mimosaceae"	"albizia, molucca"
1396	"B"	"Papilionaceae"	"rosewood, Indian"
1397	"B"	"Nephrolepidaceae"	"fern"
1401	"Z"	"Lacertidae"	"lizard, common wall"
1402	"Z"	"Ranidae"	"frog, edible"
1403	"Z"	"Soleidae"	"sole, ?"
1404	"Z"	"Siluridae"	"catfish, European"
1405	"Z"	"Cyprinidae"	"minnow, ?"
1407	"B"	"Commelinaceae"	"zebrina"
1408	"B"	"Typhaceae"	"cattail"
1409	"Z"	"Cyprinidae"	"suckerhead"
1411	"B"	"Myrtaceae"	"jambos"
1412	"B"	"Myrtaceae"	"Malay apple"
1414	"B"	"Myrtaceae"	"guava"
1415	"B"	"Papilionaceae"	"rosewood, Indian"
1416	"B"	"Dilleniaceae"	"elephant apple"
1418	"B"	"Hippocastanaceae"	"chestnut, common horse"
1419	"B"	"Tiliaceae"	"lime, small-leaved"
1420	"B"	"Tiliaceae"	"lime, large-leaved"
1421	"B"	"Loranthaceae"	"mistletoe"
1422	"B"	"Loranthaceae"	"mistletoe, common"
1423	"B"	"Rosaceae"	"rose, dog"
1424	"B"	"Ulmaceae"	"elm, European white"
1425	"B"	"Ulmaceae"	"elm, Wych"
1426	"B"	"Ulmaceae"	"elm, English"
1427	"B"	"Betulaceae"	"birch, silver"
1428	"B"	"Betulaceae"	"birch, marsh"
1429	"Z"	"Scarabaeidae"	"beetle, dung"
1430	"Z"	"Apidae"	"bee, blue carpenter"
1431	"Z"	"Cicadoidea"	"cicada, mountain"
1432	"Z"	"Aphaniptera"	"flea, common"
1433	"Z"	"Mallophaga"	"louse, fowl"
1434	"Z"	"Dermaptera"	"earwig, common"
1435	"Z"	"Coreidae"	"bug, marinated"
1436	"Z"	"Salmonidae"	"trout"
1437	"Z"	"Salmonidae"	"salmon"
1438	"Z"	"Salmonidae"	"trout, rainbow"
1439	"Z"	"Esocidae"	"pike"
1440	"Z"	"Anguillidae"	"eel, common"
1441	"Z"	"Percidae"	"perch"
1442	"B"	"Asclepiadaceae"	"butterfly weed"
1443	"Z"	"Crotalidae"	"viper, Malayan pit"
1445	"Z"	"Agamidae"	"lizard, spotted gliding"
1446	"Z"	"Muridae"	"rat, Polynesian"
1447	"Z"	"Cercopithecidae"	"macaque, crab-eating"
1448	"Z"	"Pteropodidae"	"fox, island flying"
1449	"Z"	"Pteropodidae"	"bat, lesser short-nosed fruit"
1450	"Z"	"Suidae"	"board, wild"
1451	"Z"	"Otariidae"	"sea lion, Californian"
1452	"B"	"Amaryllidaceae"	"lily, Brisbane"
1454	"B"	"Zingiberaceae"	"galanga, great"
1455	"B"	"Violaceae"	"violet, sweet"
1456	"B"	"Asteraceae"	"starwort"
1457	"B"	"Musaceae"	"banana"
1458	"B"	"Musaceae"	"banana"
1459	"B"	"Musaceae"	"banana"
1461	"B"	"Ericaceae"	"rhododendron"
1462	"B"	"Betulaceae"	"birch, river"
1463	"B"	"Simarubaceae"	"tree of heaven"
1465	"B"	"Fagaceae"	"oakm, brown"
1466	"B"	"Fagaceae"	"oak, ?"
1467	"B"	"Fagaceae"	"oak"
1468	"B"	"Fagaceae"	"oak, buk"
1469	"B"	"Rosaceae"	"cherry, Nepalese"
1473	"B"	"Verbenaceae"	"snapdragon tree"
1475	"Z"	"Accipitridae"	"kite, black"
1476	"Z"	"Accipitridae"	"kite, black-shouldered"
1477	"Z"	"Accipitridae"	"buzzard, Eurasian honey"
1478	"Z"	"Falconidae"	"kestrel, Eurasian"
1479	"Z"	"Laridae"	"gull, brown-headed"
1480	"Z"	"Psittacidae"	"parakeet, red-breasted"
1481	"B"	"Oleaceae"	"olive"
1482	"B"	"Elaeocarpaceae"	"olive, Ceylon"
1483	"B"	"Papilionaceae"	"Himalayan coral bean"
1484	"B"	"Papilionaceae"	"coral tree"
1487	"B"	"Papilionaceae"	"bean"
1488	"B"	"Papilionaceae"	"pea"
1490	"B"	"Solanaceae"	"datura"
1494	"Z"	"Balaenopteridae"	"whale, fin"
1495	"B"	"Nymphaeaceae"	"water lily, white"
1496	"B"	"Nymphaeaceae"	"water lily, yellow"
1497	"B"	"Nymphaeaceae"	"water lily, least yellow"
1498	"B"	"Papaveraceae"	"poppy, corn"
1499	"B"	"Fumariaceae"	"fumatory, common"
1500	"B"	"Resedaceae"	"mignonette, wild"
1501	"B"	"Resedaceae"	"mignonette"
1503	"B"	"Caryophyllaceae"	"pink, maiden"
1504	"B"	"Caryophyllaceae"	"pink, German"
1505	"B"	"Violaceae"	"heath violet"
1506	"B"	"Violaceae"	"violet, common"
1507	"B"	"Chenopodiaceae"	"good King Henry"
1508	"B"	"Polygonaceae"	"knotgrass"
1509	"B"	"Urticaceae"	"hop, common"
1510	"B"	"Droseraceae"	"sundew, common"
1511	"B"	"Papilionaceae"	"clover, red"
1512	"B"	"Apiaceae"	"carrot, wild"
1513	"B"	"Apiaceae"	"parsnip"
1514	"B"	"Pyrolaceae"	"wintergreen, large"
1515	"B"	"Boraginaceae"	"forget-me-not, common"
1516	"B"	"Boraginaceae"	"forget-me-not, yellow and blue"
1517	"B"	"Boraginaceae"	"forget-me-not, water"
1518	"B"	"Lamiaceae"	"mint, water"
1519	"B"	"Lamiaceae"	"nightshade, deadly"
1520	"B"	"Asteraceae"	"lettuce, prickly"
1521	"B"	"Asteraceae"	"daisy"
1522	"B"	"Asteraceae"	"chrysanthemum, wood"
1523	"B"	"Rosaceae"	"pear, wild"
1524	"B"	"Rosaceae"	"apple"
1525	"B"	"Rosaceae"	"apple, crab"
1526	"B"	"Rosaceae"	"whitebeam, common"
1527	"B"	"Papilionaceae"	"false acacia"
1528	"B"	"Betulaceae"	"alder, grey"
1529	"B"	"Fagaceae"	"oak, hairy"
1530	"B"	"Rosaceae"	"pear, wild"
1531	"B"	"Rosaceae"	"strawberry"
1532	"B"	"Rhamnaceae"	"date, Chinese"
1534	"B"	"Chenopodiaceae"	"spinach"
1536	"B"	"Gramineae"	"millet, hog"
1537	"B"	"Gramineae"	"sorghum"
1538	"B"	"Gramineae"	"barley"
1539	"B"	"Casuarinaceae"	"casuarina"
1540	"B"	"Solanaceae"	"yesterday today and tomorrow"
1541	"B"	"Caesalpiniaceae"	"copper pod"
1542	"B"	"Papilionaceae"	"angsana"
1543	"B"	"Caesalpiniaceae"	"pink shower"
1544	"B"	"Pooideae"	"bamboo, mountain"
1545	"B"	"Tropaeolaceae"	"canary creper, yellow"
1546	"B"	"Polygonaceae"	"rhubarb, ornamental"
1549	"B"	"Betulaceae"	"birch, paper"
1550	"B"	"Rosaceae"	"cotoneaster"
1551	"B"	"Rosaceae"	"cotoneaster, willowleaf"
1552	"B"	"Rosaceae"	"cotoneaster"
1553	"B"	"Rosaceae"	"cotoneaster"
1554	"B"	"Ericaceae"	"rhododendron"
1555	"B"	"Caprifoliaceae"	"elder, common"
1556	"B"	"Caprifoliaceae"	"elder"
1557	"B"	"Caprifoliaceae"	"viburnum, double file"
1558	"B"	"Caprifoliaceae"	"Japanese snowball"
1559	"B"	"Solanaceae"	"devil's apple"
1560	"B"	"Berberidaceae"	"mahonia"
1561	"B"	"Polygonaceae"	"Russian vine"
1562	"B"	"Bignoniaceae"	"trumpet vine"
1563	"B"	"Bignoniaceae"	"trumpet creeper"
1564	"B"	"Mimosaceae"	"wirteria, Chinese"
1565	"B"	"Campanulaceae"	"milky bellflower"
1566	"B"	"Brassicaceae"	"radish"
1567	"B"	"Polygonaceae"	"rhubarb"
1568	"B"	"Moraceae"	"fig"
1569	"B"	"Cornaceae"	"cornelian cherry"
1570	"B"	"Cornaceae"	"dogwood, red bark"
1571	"B"	"Berberidaceae"	"mahonia, Japanese"
1573	"B"	"Oleaceae"	"ash, flowering"
1574	"B"	"Oleaceae"	"ash, common"
1575	"B"	"Salicaceae"	"poplar, hybrid"
1576	"B"	"Ilicaceae"	"holly"
1577	"B"	"Ilicaceae"	"holly, common"
1578	"B"	"Liliaceae"	"lily, fragrant plantain"
1579	"B"	"Liliaceae"	"lily, fragrant plantain"
1580	"B"	"Araliaceae"	"fatsia"
1581	"B"	"Liliaceae"	"hosta"
1582	"B"	"Liliaceae"	"hosta"
1583	"B"	"Liliaceae"	"hosta"
1585	"B"	"Hippocastanaceae"	"chestnut, Indian horse"
1586	"B"	"Lythraceae"	"Queen's flower"
1587	"B"	"Apocynaceae"	"frangipani"
1588	"B"	"Magnoliaceae"	"magnolia"
1589	"B"	"Caesalpiniaceae"	"St. Thomas tree"
1590	"B"	"Arecaceae"	"palm, lady"
1591	"B"	"Arecaceae"	"palm, fan-leaved"
1592	"Z"	"Cercopithecidae"	"macaque, pig-tailed"
1594	"B"	"Moraceae"	"Siamese rough bush"
1595	"B"	"Bambusoideae"	"bamboo, ornamental"
1596	"B"	"Arecaceae"	"palm, MacArthur"
1597	"B"	"Annonaceae"	"artabotrys"
1601	"B"	"Boraginaceae"	"cordia, white"
1602	"B"	"Bignoniaceae"	"Indian cork"
1603	"Z"	"Stromateidae"	"pomfret, Chinese"
1604	"Z"	"Lutianidae"	"snapper, John's"
1605	"B"	"Caesalpiniaceae"	"davi-davi"
1606	"Z"	"Pteropodidae"	"bat, greater short-nosed fruit"
1607	"Z"	"Anabantidae"	"fighting fish, Siamese"
1608	"Z"	"Pangasidae"	"catfish, Mekong giant"
1609	"Z"	"Osteoglossidae"	"bonytongue, ?"
1610	"Z"	"Cyprinidae"	"rasbora, silver"
1611	"Z"	"Cyprinidae"	"barb, Schwanenfeld's tinfoil"
1612	"B"	"Liliaceae"	"lily, white"
1614	"B"	"Magnoliaceae"	"magnolia"
1615	"B"	"Rutaceae"	"krassang"
1616	"B"	"Malvaceae"	"Turk's cap"
1617	"B"	"Sapotaceae"	"Indian butter tree"
1619	"B"	"Araucariaceae"	"pine, Bunya"
1620	"B"	"Araucariaceae"	"pine, Norfold Island"
1622	"B"	"Oleaceae"	"ash, Himalayan"
1624	"B"	"Anacardiaceae"	"Japanese lacquer tree"
1625	"B"	"Caprifoliaceae"	"elder berry"
1626	"B"	"Solanaceae"	"angle's trumpet"
1627	"B"	"Euphorbiaceae"	"emblic"
1629	"B"	"Caprifoliaceae"	"elder berry"
1630	"Z"	"Syngnathidae"	"seahorse, ?"
1631	"B"	"Rhizophoraceae"	"mangrove"
1635	"B"	"Magnoliaceae"	"magnolia"
1637	"B"	"Moraceae"	"jack tree"
1639	"B"	"Berberidaceae"	"berberry"
1640	"B"	"Berberidaceae"	"berberry"
1641	"B"	"Rutaceae"	"Nepalese pepper"
1648	"B"	"Dioscoreaceae"	"yam, bulb bearing"
1649	"Z"	"Manidae"	"anteater, scaly"
1650	"Z"	"Cervidae"	"deer, common barking"
1651	"Z"	"Viverridae"	"mongoose, Nepali"
1652	"Z"	"Cercopithecidae"	"monkey, langur"
1653	"Z"	"Mustelidae"	"badger, hog"
1654	"Z"	"Muridae"	"fawn-colored, field"
1655	"Z"	"Muridae"	"mouse, long-tailed"
1656	"Z"	"Soricidae"	"shrew, grey mask"
1657	"Z"	"Soricidae"	"shrew, large-clawed"
1661	"B"	"Annonaceae"	"mast tree"
1663	"B"	"Caesalpiniaceae"	"bauhinia, white"
1664	"B"	"Papilionaceae"	"rosewood, Siamese"
1665	"B"	"Mimosaceae"	"sandalwood, red"
1666	"B"	"Apocynaceae"	"ivory wood"
1668	"B"	"Bignoniaceae"	"yellow elder"
1669	"B"	"Sapindaceae"	"Ceylon oak"
1671	"Z"	"Anabantidae"	"gourami, snake skin"
1672	"Z"	"Ophiocephalidae"	"snakehead, red-tailed"
1673	"Z"	"Rhinobatidae"	"ray, white-spotted shovel-nose"
1674	"Z"	"Anguillidae"	"eel, true"
1675	"Z"	"Cyprinidae"	"barb, red-tail tinfoil"
1676	"Z"	"Cichlidae"	"tilapia, Java"
1677	"Z"	"Anabantidae"	"gourami, three-spot"
1678	"Z"	"Ophiocephalidae"	"snakehead, blotched"
1679	"Z"	"Ophiocephalidae"	"snakehead, great"
1680	"Z"	"Cyprinidae"	"carp, soro brook"
1681	"Z"	"Flutidae"	"eel, swamp"
1682	"Z"	"Cyprinidae"	"barb, golden belly"
1683	"Z"	"Siluridae"	"sheathfish, common"
1684	"Z"	"Siluridae"	"sheathfish, great white"
1685	"Z"	"Siluridae"	"sheathfish, whisker"
1686	"Z"	"Anabantidae"	"gourami, giant"
1687	"Z"	"Cynoglossidae"	"tonguefish, freshwater"
1688	"Z"	"Hemiramphidae"	"half-beak, wrestling"
1689	"Z"	"?"	"garfish, round-tail"
1690	"Z"	"Soleidae"	"sole, river"
1691	"Z"	"?"	"batfish, freshwater"
1692	"Z"	"Nandidae"	"nandid, striped tiger"
1693	"Z"	"Bagridae"	"mystus, yellow"
1694	"Z"	"?"	"mosquito"
1702	"Z"	"Viverridae"	"binturong"
1703	"Z"	"Viverridae"	"civet, ?"
1704	"Z"	"Viverridae"	"linsang, spotted"
1705	"Z"	"Viverridae"	"linsang, banded"
1706	"Z"	"Mustelidae"	"mastes, yellow-throated"
1707	"Z"	"Cervidae"	"deer, hog"
1708	"Z"	"Felidae"	"leopard, clouded"
1710	"B"	"Papilionaceae"	"rosewood, Cambodia"
1711	"B"	"Araliaceae"	"ginseng, Vietnamese"
1714	"Z"	"Threskiornithidae"	"ibis, giant"
1715	"Z"	"Pelecanidae"	"pelican, spot-billed"
1730	"Z"	"Ampulariidae"	"snail, apple"
1731	"Z"	"Brachyura"	"crab, black rice"
1732	"Z"	"Brachyura"	"crab, green tidal"
1733	"Z"	"Brachyura"	"crab, Meder's mangrove"
1734	"Z"	"Brachyura"	"crab, hairy rock"
1735	"Z"	"Brachyura"	"crab, swimming three-spot"
1736	"Z"	"Brachyura"	"crab, hairy leg mountain"
1737	"Z"	"Brachyura"	"crab, fiddler"
1738	"Z"	"Brachyura"	"crab, Brandt's rice"
1739	"Z"	"Brachyura"	"crab, spider"
1740	"Z"	"Brachyura"	"crab, painted stone"
1741	"Z"	"Homaridae"	"lobster, purplish brown spiny"
1742	"Z"	"Homaridae"	"lobster, painted spiny"
1743	"Z"	"Homaridae"	"lobster, yellow-ring spiny"
1744	"Z"	"?"	"black sea cucumber"
1745	"Z"	"Soricidae"	"shrew, Southeast Asian white-toothed"
1747	"Z"	"Pinaeidae"	"prawn, green tiger"
1748	"Z"	"Pinaeidae"	"shrimp, blue tail yellow"
1749	"Z"	"Palaemonidae"	"prawn, dwarf"
1750	"Z"	"Penaeidae"	"shrimp, greasy-back"
1751	"Z"	"Palaemonidae"	"prawn, Lanchester's freshwater"
1752	"B"	"Convallariaceae"	"fairy bell"
1753	"Z"	"?"	"clam, hard"
1754	"Z"	"Viviparidae"	"snail, pond"
1755	"Z"	"Loliginidae"	"cuttlefish, soft"
1756	"Z"	"Emydidae"	"terrapin, yellow-headed temple"
1757	"Z"	"Dermochelyidae"	"turtle, leatherback"
1758	"Z"	"Testudinidae"	"tortoise, black giant"
1759	"Z"	"Brachyura"	"horse-shoe crab, triangular-tail"
1760	"Z"	"?"	"territella, auger"
1761	"Z"	"?"	"shell, horned helmet"
1762	"Z"	"?"	"murex, giant"
1763	"Z"	"?"	"shell, wing"
1764	"Z"	"?"	"snail, African giant"
1765	"Z"	"?"	"periwinkle, rough"
1766	"Z"	"Trochidae"	"shell, Nile top"
1767	"Z"	"?"	"shell, blotched melon"
1768	"Z"	"?"	"shell, harp common"
1769	"Z"	"?"	"telescope creeper"
1770	"Z"	"Muricidae"	"murex, stout-spine"
1771	"Z"	"?"	"clam, ridged venus"
1772	"Z"	"?"	"shell, enamel Venus"
1773	"Z"	"?"	"donax, common"
1774	"Z"	"?"	"mussel, horse"
1775	"Z"	"?"	"oyster, Penquin wing"
1776	"Z"	"Ranidae"	"frog, tiger"
1777	"Z"	"Ranidae"	"frog, Blyth's mountain"
1778	"Z"	"Cercopithecidae"	"langur, Phayre's"
1780	"Z"	"Cercopithecidae"	"monkey, Tonkin leaf"
1781	"Z"	"Sciuridae"	"squirrel, lesser giant flying"
1782	"Z"	"Sciuridae"	"squirrel, red giant flying"
1784	"B"	"Malvaceae"	"portia tree"
1786	"Z"	"Sciuridae"	"squirrel, grey-bellied"
1791	"B"	"Juncaceae"	"rush, mat"
1792	"Z"	"Columbidae"	"cuckoo-dove, barred"
1793	"Z"	"Meropidae"	"bee-eater, blue-tailed"
1794	"Z"	"Meropidae"	"bee-eater, green"
1795	"Z"	"Meropidae"	"bee-eater, chestnut-headed"
1796	"Z"	"Meropidae"	"bee-eater, blue-throated"
1797	"Z"	"Bucerotidae"	"hornbill, great"
1798	"Z"	"Pycnonotidae"	"bulbul, red-whiskered"
1799	"Z"	"Pycnonotidae"	"bulbul, streak-eared"
1800	"Z"	"Dicruridae"	"drongo, black"
1801	"Z"	"Dicruridae"	"drongo, crow-billed"
1802	"Z"	"Dicruridae"	"drongo, bronzed"
1803	"Z"	"Oriolidae"	"oriole, black-hooded"
1804	"Z"	"Oriolidae"	"oriole, black-naped"
1805	"Z"	"Chloropseidae"	"iora, green"
1806	"Z"	"Chloropseidae"	"iora, common"
1807	"Z"	"Chloropseidae"	"iora, great"
1808	"Z"	"Chloropseidae"	"leafbird, blue-winged"
1809	"Z"	"Timaliidae"	"laughingthrush, white-crested"
1810	"Z"	"Timaliidae"	"laughingthrush, black-throated"
1811	"Z"	"Turdidae"	"shama, white-rumped"
1812	"Z"	"Estrildidae"	"munia, white-bellied"
1813	"Z"	"Estrildidae"	"munia, white-rumped"
1814	"Z"	"Laniidae"	"shrike, tiger"
1815	"Z"	"Zosteropidae"	"white-eye, Japanese"
1816	"Z"	"Zosteropidae"	"white-eye, Oriental"
1817	"Z"	"Cuculidae"	"cuckoo, plaintive"
1819	"B"	"Asteraceae"	"lettuce, Indian"
1821	"Z"	"Scolopendridae"	"centipede"
1824	"B"	"Pinaceae"	"pine, two-leaved"
1825	"B"	"Pinaceae"	"pine, three-leaved"
1826	"B"	"Mimosaceae"	"lead tree"
1827	"Z"	"Pangasidae"	"black ear"
1828	"Z"	"Pangasidae"	"catfish, ?"
1830	"B"	"Moraceae"	"jack tree, wild"
1832	"Z"	"Ardeidae"	"heron, grey"
1833	"Z"	"Ardeidae"	"heron, purple"
1834	"Z"	"Ciconiidae"	"stork, painted"
1835	"Z"	"Ciconiidae"	"stork, woolly-necked"
1836	"Z"	"Accipitridae"	"eagle, crested serpent-"
1837	"Z"	"Phasianidae"	"pheasant, silver"
1838	"Z"	"Phasianidae"	"fireback, Siamese"
1839	"Z"	"Cyprinidae"	"carp, Hoeven's slender"
1840	"Z"	"Mugilidae"	"mullet, ?"
1841	"B"	"Euphorbiaceae"	"Indian spurge tree"
1843	"B"	"Cucurbitaceae"	"pumpkin"
1845	"B"	"Brassicaceae"	"kolh-rabi"
1846	"B"	"Brassicaceae"	"cabbage, pak-choi"
1847	"B"	"Brassicaceae"	"cabbage, petsai"
1848	"B"	"Amaranthaceae"	"amaranth"
1849	"B"	"Oxalidaceae"	"cucumber tree"
1850	"B"	"Rutaceae"	"bushukan"
1851	"B"	"Amaryllidaceae"	"fragrant odored garlic"
1852	"B"	"Amaryllidaceae"	"garlic"
1853	"B"	"Amaryllidaceae"	"leek"
1856	"Z"	"Cercopithecidae"	"langur, silvered"
1858	"B"	"Bambusoideae"	"bamboo, Buddha's belly"
1859	"B"	"Ochnaceae"	"Micky Mouse plant"
1860	"Z"	"Coraciidae"	"roller, Indian"
1861	"B"	"Amaranthaceae"	"love-lies-bleeding"
1863	"B"	"Chenopodiaceae"	"Mexican tea"
1864	"B"	"Bignoniaceae"	"calabash"
1865	"B"	"Bignoniaceae"	"African tulip tree"
1866	"B"	"Asphodelaceae"	"aloe, Barbados"
1868	"B"	"Agavaceae"	"bowstring hemp"
1869	"B"	"Agavaceae"	"bowstring hemp"
1870	"B"	"Agavaceae"	"bowstring hemp"
1871	"B"	"Agavaceae"	"bowstring hemp"
1872	"B"	"Agavaceae"	"bowstring hemp, ?"
1876	"Z"	"Picidae"	"flameback, common"
1877	"Z"	"Picidae"	"flameback, greater"
1878	"Z"	"Alcedinidae"	"kingfisher, brown-winged"
1879	"Z"	"Pittidae"	"pitta, mangrove"
1880	"Z"	"Pittidae"	"pitta, blue-winged"
1881	"Z"	"Upupidae"	"hoopoe"
1882	"Z"	"Heliornithidae"	"finfoot, masked"
1883	"B"	"Podocarpaceae"	"bamboo-juniper"
1885	"Z"	"Hystricidae"	"porcupine, crestless Himalayan"
1886	"Z"	"Viverridae"	"civet, small Indian"
1887	"Z"	"Bovidae"	"serow, mainland"
1888	"Z"	"Cervidae"	"sambar, Indian"
1889	"Z"	"Felidae"	"cat, Asian golden"
1890	"Z"	"Viverridae"	"mongoose, crab-eating"
1891	"Z"	"Viverridae"	"civet, common palm"
1892	"Z"	"Viverridae"	"civet, masked palm"
1893	"Z"	"Strigidae"	"owl, brown fish-"
1894	"B"	"Verbenaceae"	"purple wreath"
1896	"B"	"Apocynaceae"	"frangipani"
1899	"Z"	"Phasianidae"	"peacock-pheasant, grey"
1900	"Z"	"Phasianidae"	"peacock-pheasant, germain's"
1901	"Z"	"Accipitridae"	"goshawk, asian crested"
1902	"Z"	"Cuculidae"	"malkoha, green-billed"
1903	"Z"	"Cuculidae"	"coucal, greater"
1904	"Z"	"Strigidae"	"owl, brown hawk-"
1905	"Z"	"Strigidae"	"owl, collared scops"
1906	"Z"	"Sylviidae"	"tailorbird, common"
1907	"Z"	"Sylviidae"	"tailorbird, dark-necked"
1908	"Z"	"Sylviidae"	"prinia, yellow-bellied"
1909	"Z"	"Sylviidae"	"prinia, grey-breasted"
1910	"Z"	"Sylviidae"	"prinia, rufescent"
1911	"Z"	"Sylviidae"	"prinia, plain"
1912	"Z"	"Ardeidae"	"egret, great"
1913	"Z"	"Accipitridae"	"kite, black"
1914	"Z"	"Accipitridae"	"shikra"
1915	"Z"	"Accipitridae"	"harrier, pied"
1916	"Z"	"Accipitridae"	"harrier, Eastern marsh"
1917	"Z"	"Meropidae"	"bee-eater, blue-bearded"
1918	"Z"	"Anatidae"	"garganey"
1919	"Z"	"Anatidae"	"teal, common"
1920	"Z"	"Colubridae"	"keelback, chequered"
1922	"Z"	"Bataguridae"	"terrapin, rice-field"
1935	"B"	"Scrophulariaceae"	"snapdragon, large"
1938	"B"	"Apocynaceae"	"devil tree"
1943	"B"	"Gramineae"	"millet, common"
1946	"B"	"Heliconiaceae"	"wild plaintain"
1947	"B"	"Amaryllidaceae"	"lily, blood"
1952	"B"	"Amaryllidaceae"	"sea daffodil"
1955	"B"	"Rosaceae"	"plum, Japansese"
1956	"B"	"Lauraceae"	"cinnamon"
1959	"B"	"Araliaceae"	"ginseng"
1960	"B"	"Apiaceae"	"celery"
1961	"B"	"Asteraceae"	"velvet plant"
1963	"B"	"Apiaceae"	"parsley"
1964	"Z"	"Ardeidae"	"heron, little"
1965	"Z"	"Ardeidae"	"bittern, yellow"
1966	"Z"	"Ardeidae"	"bittern, cinnamon"
1967	"Z"	"Anatidae"	"pintail, Northern"
1968	"Z"	"Anatidae"	"duck, less whistling-"
1969	"Z"	"Accipitridae"	"baza, black"
1970	"Z"	"Accipitridae"	"sparrowhawk, besra"
1971	"Z"	"Accipitridae"	"sparrowhawk, Japanese"
1972	"Z"	"Accipitridae"	"buzzard, common"
1973	"Z"	"Accipitridae"	"buzzard, grey-faced"
1974	"Z"	"Accipitridae"	"eagle, mountain hawk-"
1975	"Z"	"Accipitridae"	"eagle, changeable hawk-"
1976	"Z"	"Accipitridae"	"eagle, black"
1977	"Z"	"Falconidae"	"falcon, white-rumped"
1978	"Z"	"Falconidae"	"falconet, collared"
1979	"Z"	"Falconidae"	"falconet, black-thighed"
1980	"Z"	"Phasianidae"	"francolin, Chinese"
1981	"Z"	"Turnicidae"	"buttonquail, yellow-ledgged"
1982	"Z"	"Turnicidae"	"buttonquail, barred"
1983	"Z"	"Rallidae"	"rail, blue-breasted banded"
1984	"Z"	"Charadriidae"	"lapwing, red-wattled"
1985	"Z"	"Charadriidae"	"plover, Pacific golden"
1986	"Z"	"Charadriidae"	"plover, little ringed"
1987	"Z"	"Charadriidae"	"plover, Kentish"
1988	"Z"	"Charadriidae"	"plover, greater sand-"
1998	"B"	"Papilionaceae"	"rosewood"
2000	"B"	"Caesalpiniaceae"	"scrambled egg"
2002	"Z"	"Caprimulgidae"	"nightjar, great eared"
2004	"B"	"Cactaceae"	"night-flowering cactus"
2006	"B"	"Bignoniaceae"	"orange trumpet"
2007	"Z"	"Scolopacidae"	"curlew, Eurasian"
2008	"Z"	"Scolopacidae"	"whimbrel"
2009	"Z"	"Scolopacidae"	"godwit, black-tailed"
2010	"Z"	"Scolopacidae"	"redshank, spotted"
2011	"Z"	"Scolopacidae"	"redshank, common"
2012	"Z"	"Scolopacidae"	"greenshank, common"
